"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"10/12/2020","160","164","164","160","0,20K","3,90%"
"08/12/2020","154","155","155","154","0,30K","-5,52%"
"07/12/2020","163","163","163","163","0,10K","7,95%"
"04/12/2020","151","160","160","151","0,90K","-6,79%"
"02/12/2020","162","176","176","162","0,50K","-2,41%"
"30/11/2020","166","158","166","158","29,40K","-1,78%"
"27/11/2020","169","159","169","159","0,20K","6,96%"
"26/11/2020","158","162","162","158","0,20K","-3,07%"
"25/11/2020","163","179","179","158","0,30K","-3,55%"
"24/11/2020","169","175","175","162","1,30K","-1,74%"
"23/11/2020","172","162","204","152","4,00K","6,83%"
"20/11/2020","161","161","161","161","0,10K","5,23%"
"19/11/2020","153","174","174","153","0,20K","-6,71%"
"18/11/2020","164","164","164","164","0,10K","3,14%"
"17/11/2020","159","150","200","150","17,90K","4,61%"
"16/11/2020","152","162","162","152","5,90K","-6,75%"
"13/11/2020","163","163","163","163","0,10K","12,41%"
"12/11/2020","145","145","145","145","0,60K","-4,61%"
"11/11/2020","152","156","159","152","1,50K","-5,00%"
"10/11/2020","160","156","170","150","15,40K","2,56%"
"09/11/2020","156","147","156","146","20,80K","6,85%"
"06/11/2020","146","155","180","146","14,60K","1,39%"
"05/11/2020","144","144","144","144","0,50K","-6,49%"
"04/11/2020","154","154","154","154","0,10K","0,00%"
"02/11/2020","154","146","154","146","1,20K","0,00%"
"23/10/2020","154","164","164","146","1,50K","0,00%"
"22/10/2020","154","165","165","154","0,30K","-0,65%"
"21/10/2020","155","138","155","138","5,00K","13,14%"
"20/10/2020","137","152","190","137","19,30K","-5,52%"
"19/10/2020","145","145","145","145","0,10K","0,00%"
"16/10/2020","145","155","155","145","1,10K","-6,45%"
"15/10/2020","155","155","155","155","0,30K","-3,13%"
"14/10/2020","160","160","160","160","0,10K","0,00%"
"13/10/2020","160","160","160","160","0,10K","4,58%"
"12/10/2020","153","140","161","140","51,60K","2,00%"
"09/10/2020","150","171","171","150","29,90K","-6,83%"
"08/10/2020","161","183","222","161","133,30K","-6,94%"
"07/10/2020","173","148","194","148","18,20K","18,49%"
"06/10/2020","146","146","146","146","0,10K","1,39%"
"05/10/2020","144","144","144","144","0,10K","1,41%"
"02/10/2020","142","153","153","142","0,20K","-5,96%"
"01/10/2020","151","151","151","151","0,10K","1,34%"
